City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Burkburnett,US,34.0979,-98.5706,58.78,58,0,5.75,clear sky
258,Kyabe,TD,9.4515,18.9449,81.19,59,85,6.02,overcast clouds
259,Kalabo,ZM,-14.97,22.6814,65.46,94,77,3.51,broken clouds
260,Chauk,MM,20.8833,94.8167,98.24,32,12,8.23,few clouds
261,Airai,TL,-8.9266,125.4092,71.2,77,100,1.66,overcast clouds
262,Grants,US,35.1473,-107.8514,53.83,13,0,5.75,clear sky
263,Jakarta,ID,-6.2146,106.8451,96.1,58,60,4.63,broken clouds
264,Tual,ID,-5.6667,132.75,84.06,72,98,5.97,light rain
265,Aksu,CN,41.1231,80.2644,68.29,10,4,8.14,clear sky
266,Rio Grande,BR,-32.035,-52.0986,53.94,83,98,11.7,overcast clouds
267,Longyearbyen,SJ,78.2186,15.6401,21.04,86,100,0.0,light snow
268,Llano De Piedra,PA,7.6667,-80.5667,77.2,84,100,4.29,overcast clouds
269,Raudeberg,NO,61.9875,5.1352,43.86,77,97,6.46,overcast clouds
270,Loei,TH,17.4167,101.5,74.12,64,88,5.86,light rain
271,Kirkuk,IQ,35.4681,44.3922,72.48,25,28,6.2,scattered clouds
272,Touros,BR,-5.1989,-35.4608,77.09,88,100,6.55,overcast clouds
273,Zabid,YE,14.1951,43.3152,86.4,51,0,4.74,clear sky
274,Ardalstangen,NO,61.2371,7.6983,33.15,69,90,5.99,overcast clouds
275,Champerico,GT,14.3,-91.9167,83.44,70,91,7.05,overcast clouds
276,Callander,GB,56.2441,-4.2164,49.51,97,96,5.88,overcast clouds
277,Vorukh,TJ,39.8494,70.5838,70.68,28,57,4.54,broken clouds
278,Jidong,CN,45.2167,131.0833,51.19,19,39,7.87,scattered clouds
279,Cayenne,GF,4.9333,-52.3333,81.09,1,20,5.01,few clouds
280,Cabedelo,BR,-6.9811,-34.8339,77.67,79,99,7.99,overcast clouds
281,Fort Dodge,US,42.4975,-94.168,32.13,100,75,8.05,broken clouds
282,Campo Verde,BR,-20.4167,-54.0667,59.27,80,6,4.68,clear sky
283,Volchanets,RU,42.9131,132.7469,52.81,32,89,9.6,overcast clouds
